,brand,name,year,info,km,location,price,type,color
0,쉐보레(GM대우),스파크,15/04식,LS,"33,255km",서울,550,가솔린,보라색
1,르노삼성,뉴QM3,18/11식,RE,"24,000km",인천,"1,490",디젤,보라색
2,기아,더 K9,18/04식(19년형),3.3 T-GDI AWD,"37,722km",서울,"4,999",가솔린,보라색
3,기아,더 K9,18/04식(19년형),3.3 T-GDI AWD,"37,722km",서울,"4,999",가솔린,보라색
4,쉐보레(GM대우),스파크,13/10식(14년형),LT,"47,089km",울산,520,가솔린,보라색
5,현대,그랜저 HG,11/05식,HG300 노블,"129,729km",충남,820,가솔린,보라색
6,르노삼성,SM6,17/06식,2.0 GDe RE,"29,988km",서울,"1,850",가솔린,보라색
7,르노삼성,SM6,17/06식,2.0 GDe RE,"29,988km",서울,"1,850",가솔린,보라색
8,쉐보레(GM대우),스파크,14/09식,LS,"62,259km",충남,420,가솔린,보라색
9,쉐보레(GM대우),더 넥스트 스파크,16/10식,LTZ,"30,203km",경기,779,가솔린,보라색
10,쉐보레(GM대우),더 넥스트 스파크,16/10식,LTZ,"30,203km",경기,779,가솔린,보라색
11,기아,올 뉴 모닝,13/07식,럭셔리,"82,969km",서울,550,가솔린,보라색
12,르노삼성,뉴QM3,18/01식,RE,"15,081km",경기,"1,650",디젤,보라색
13,르노삼성,뉴QM3,18/01식,RE,"15,081km",경기,"1,650",디젤,보라색
14,기아,레이,15/03식(16년형),프레스티지,"55,532km",경기,720,가솔린,보라색
15,르노삼성,QM6,18/06식(19년형),가솔린 2WD RE 시그니처,"69,003km",경기,"2,190",가솔린,보라색
16,르노삼성,QM6,18/06식(19년형),가솔린 2WD RE 시그니처,"69,003km",경기,"2,190",가솔린,보라색
17,기아,올 뉴 카니발,17/05식(18년형),9인승 노블레스 스페셜,"75,148km",광주,"2,390",디젤,보라색
18,쉐보레(GM대우),더 넥스트 스파크,16/03식,LTZ,"40,515km",광주,920,가솔린,보라색
19,르노삼성,QM6,18/01식,디젤 4WD RE 시그니처,"125,447km",광주,"1,740",디젤,보라색
20,기아,스팅어,19/04식,3.3 터보 AWD,"21,236km",경기,"3,770",가솔린,보라색
21,,,,,,,,,보라색
22,쉐보레(GM대우),더 뉴 스파크,19/08식,프리미어,"13,714km",경기,"1,050",가솔린,보라색
23,쉐보레(GM대우),더 뉴 스파크,19/08식,프리미어,"13,714km",경기,"1,050",가솔린,보라색
24,기아,K5,11/10식(12년형),LPI 프레스티지,"76,922km",강원,899,LPG(일반인 구입),보라색
25,르노삼성,QM6,17/09식(18년형),가솔린 2WD RE,"57,620km",경기,"1,860",가솔린,보라색
26,르노삼성,더 뉴 QM6,20/06식,2.0 GDe RE 시그니처 2WD,"38,207km",경기,"2,390",가솔린,보라색
27,르노삼성,QM6,17/09식(18년형),가솔린 2WD RE,"57,620km",경기,"1,860",가솔린,보라색
28,르노삼성,더 뉴 QM6,20/06식,2.0 GDe RE 시그니처 2WD,"38,207km",경기,"2,390",가솔린,보라색
29,르노삼성,QM6,18/03식,가솔린 2WD RE,"42,305km",광주,"1,890",가솔린,보라색
30,쉐보레(GM대우),더 넥스트 스파크,16/03식,LTZ,"77,656km",경기,680,가솔린,보라색
31,쉐보레(GM대우),스파크,14/12식,LT,"62,897km",부산,530,가솔린,보라색
32,쉐보레(GM대우),더 뉴 스파크,18/09식(19년형),프리미어,"21,623km",광주,990,가솔린,보라색
33,쉐보레(GM대우),스파크,14/12식,LT,"62,897km",부산,530,가솔린,보라색
34,쉐보레(GM대우),더 뉴 스파크,18/09식(19년형),프리미어,"21,623km",광주,990,가솔린,보라색
35,쉐보레(GM대우),스파크,14/12식,LT,"46,565km",부산,519,가솔린,보라색
36,르노삼성,SM6,17/09식,2.0 GDe RE,"7,434km",서울,"1,780",가솔린,보라색
37,르노삼성,SM6,17/09식,2.0 GDe RE,"7,434km",서울,"1,780",가솔린,보라색
38,쉐보레(GM대우),더 넥스트 스파크,16/01식,LT,"71,400km",경북,590,가솔린,보라색
39,기아,K5,11/01식,LPI 프레스티지,"195,515km",광주,590,LPG(일반인 구입),보라색
40,현대,제네시스 DH,14/05식(15년형),G380 파이니스트 에디션 AWD,"147,825km",경기,"2,550",가솔린,보라색
41,기아,K5,11/04식,2.0 디럭스,"158,693km",부산,520,가솔린,보라색
42,기아,더 K9,19/01식,3.3 T-GDI AWD,"23,838km",대구,"5,150",가솔린,보라색
43,현대,코나,17/08식(18년형),1.6 터보 2WD,"72,621km",충남,"1,849",가솔린,보라색
44,현대,코나,17/08식(18년형),1.6 터보 2WD,"72,621km",충남,"1,849",가솔린,보라색
45,쉐보레(GM대우),더 넥스트 스파크,16/10식(17년형),LTZ,"46,627km",대구,860,가솔린,보라색
